Id,Unidade (Instância),W,Z,V,T
1,Cachoeira do Sul,-0.243773517733871,-0.245708214544327,-0.327173349374038,-0.162088380424891
2,Camaquã,-0.283128808020025,-0.258809977443292,-0.21954802858921,-0.326683398352801
3,Campanha Central,-0.182640803369535,-0.213707910193275,-0.394930957840766,-0.61649371273241
4,Campanha Meridional,-0.201881127174652,-0.23459494536496,-0.324903412392305,-0.4114445527758
5,Campanha Ocidental,0.065232141376408,-0.085943461765735,-0.169110916810736,4.14348096624002
6,Carazinho,-0.33524737690275,-0.285025548628881,-0.392662842969758,-0.52804930983985
7,Caxias do Sul,0.728191567519093,0.65017591324658,2.67117021865246,0.370246016847314
8,Cerro Largo,-0.358970841646021,-0.302751589592793,-0.421162858031828,-0.367657359253443
9,Cruz Alta,-0.24748259766037,-0.221269413979256,-0.380348006659183,0.001415986536807
10,Erechim,-0.183693349483636,-0.170218814984749,-0.161952513165657,-0.182249216340456
11,Frederico Westphalen,-0.292997517724323,-0.253174102954363,-0.383513650613655,0.122142963780352
12,Gramado-Canela,0.035032914371236,0.000141380898374,0.115007525095088,-0.513470950524737
13,Guaporé,-0.279970274546229,-0.249046866536858,-0.039225270935506,-0.175488533666226
14,Ijuí,-0.36346563958622,-0.30368344812078,-0.442643703214798,-0.311303416089295
15,Jaguarão,-0.346106882176658,-0.305247680738445,-0.436514624213737,-0.515010506120266
16,Lajeado-Estrela,-0.113778448195221,-0.110480541478222,0.194557636759217,3.33952884793302
17,Litoral Lagunar,-0.074656158900207,-0.058814065084022,-0.248008517690237,0.14015577949337
18,Montenegro,-0.156380263155332,-0.180889053988204,0.181019882780208,-0.284160511841771
19,Não-Me-Toque,-0.367685145134784,-0.303375510881335,-0.403579870750115,-0.484272178235828
20,Osório,0.304019180835115,0.036385348721355,-0.23416969792185,0.428241272326565
21,Passo Fundo,-0.028486597091433,0.029206480723412,0.043588383992081,0.738855810763492
22,Pelotas,0.166927231970826,0.028575616688395,-0.077735444958799,0.043017574252579
23,Porto Alegre,5.59037960212951,5.6515045573767,4.8681700519845,-0.167217503456681
24,Restinga Seca,-0.387267325744378,-0.323417038116871,-0.424504493375731,-0.632296553563901
25,Sananduva,-0.362433992650447,-0.304820551408898,-0.426322118032272,-0.636856432009445
26,Santa Cruz do Sul,-0.045897635140537,-0.053839874933353,0.063843922113599,0.374667315235788
27,Santa Maria,0.183022099789936,0.026059155869238,-0.298844424382388,-0.116499962794402
28,Santa Rosa,-0.238546200098398,-0.205070561100594,-0.265414993951938,-0.12069846826384
29,Santiago,-0.291010754213209,-0.271508500252686,-0.424524997226927,-0.506940894524144
30,Santo Ângelo,-0.220330220128545,-0.207465320860687,-0.302749450462699,-0.167667280236191
31,São Jerônimo,-0.260111020977395,-0.26652960620873,0.292565262626109,-0.50639053808187
32,Serras de Sudeste,-0.30600354380585,-0.286087029431094,-0.130466791554176,-0.654025852567648
33,Soledade,-0.366744991009264,-0.306318849841061,-0.440791172544208,-0.71825803151753
34,Três Passos,-0.290054530560885,-0.25256187071563,-0.333659757222291,-0.227823103997964
35,Vacaria,-0.244059175161948,-0.161688104374954,-0.325461019118453,-0.368705886197907
